Task ID,Length,Budget,Deadline,Pref
0,67524,99,133,T
1,38897,56,112,T
2,52455,67,188,T
3,64439,44,190,C
4,30408,18,156,C
5,71183,68,37,T
6,58537,10,142,T
7,42600,38,41,T
8,54419,43,150,T
9,53355,88,93,T
10,37437,92,113,C
11,29386,27,96,T
12,35758,20,141,C
13,34530,16,137,C
14,43418,28,180,T
15,56963,12,180,C
16,67769,46,143,C
17,64276,34,125,C
18,34169,99,168,C
19,39701,62,66,C
20,46896,22,62,T
21,66216,37,90,T
22,48277,83,73,T
23,44706,73,43,C
24,67263,10,92,C
25,52022,23,150,T
26,71111,83,143,T
27,51746,68,106,C
28,66515,93,183,C
29,72971,32,89,C
30,45437,57,141,T
31,73260,42,115,C
32,53482,52,169,T
33,62399,24,28,T
34,68003,69,155,C
35,39540,67,86,T
36,32873,80,120,T
37,43280,35,101,T
38,40032,52,112,T
39,56045,10,50,T
40,44638,87,137,C
41,68136,34,59,T
42,49029,86,177,C
43,38193,14,172,C
44,31207,14,175,T
45,33998,53,91,T
46,37274,43,128,T
47,50393,66,143,T
48,33264,80,77,T
49,51934,96,187,C
50,70258,71,103,C
51,54885,61,117,C
52,57242,87,143,T
53,72372,55,154,C
54,67363,85,85,T
55,60297,95,65,C
56,29941,73,130,T
57,60317,82,38,T
58,49417,98,72,T
59,73199,80,56,T
60,69443,95,111,T
61,58304,13,118,C
62,66042,29,54,T
63,40040,29,138,C
64,60918,74,173,C
65,36858,65,76,T
66,55844,67,62,T
67,69549,23,156,C
68,39668,53,128,T
69,46662,47,161,C
70,59557,14,84,C
71,57059,21,23,C
72,34760,91,72,C
73,44894,91,187,T
74,71411,28,117,C
75,47617,28,170,T
76,58306,97,64,T
77,62741,69,80,T
78,37555,30,106,C
79,65600,90,36,T
80,56854,17,142,C
81,65455,96,67,T
82,59060,20,37,T
83,40565,57,119,C
84,62569,46,61,C
85,36583,63,136,C
86,31932,61,121,C
87,55996,94,137,C
88,38457,97,120,T
89,44569,90,163,T
90,65172,33,136,T
91,41540,50,25,C
92,36147,55,86,C
93,43657,52,101,T
94,71765,60,45,C
95,63257,93,45,T
96,45098,46,92,C
97,69587,44,26,T
98,55057,36,107,T
99,73231,52,55,T
100,61708,37,86,T
101,66430,80,168,C
102,51244,94,179,T
103,71366,57,20,C
104,30564,47,187,T
105,54322,71,125,C
106,44584,44,59,C
107,47198,59,79,C
108,70699,66,91,T
109,50314,47,186,T
110,45689,21,138,T
111,39449,19,94,T
112,56097,12,133,T
113,32545,31,73,T
114,48727,67,106,T
115,40903,22,182,T
116,60043,77,49,C
117,69486,94,134,T
118,70565,79,23,C
119,31264,35,106,T
120,65852,16,28,C
121,67738,91,52,T
122,60014,52,42,C
123,39156,97,179,T
124,37135,50,46,T
125,48416,88,152,C
126,57642,45,98,T
127,57132,31,149,T
128,53126,45,121,C
129,38512,49,179,T
130,33678,43,75,C
131,31556,27,52,C
132,29837,11,97,T
133,64508,25,185,C
134,64917,95,106,T
135,64899,59,117,T
136,69825,82,78,C
137,37198,21,138,C
138,59149,67,118,C
139,38129,30,105,C
140,33480,64,131,C
141,44208,69,111,C
142,39998,35,127,C
143,56846,46,59,C
144,59852,59,56,T
145,33254,10,174,T
146,71930,64,57,T
147,70524,22,135,T
148,33108,47,21,T
149,29254,98,165,C
150,70117,39,134,T
151,38523,37,132,C
152,40560,81,54,T
153,49988,48,70,T
154,61337,59,72,C
155,31450,29,111,T
156,62500,89,93,T
157,42493,45,60,C
158,50730,38,32,T
159,40062,72,176,T
160,69299,53,87,T
161,49668,75,136,C
162,69988,51,122,C
163,36648,90,45,T
164,49087,95,181,T
165,43732,40,71,T
166,40880,10,181,C
167,64729,85,31,T
168,72509,39,31,C
169,35250,87,20,C
170,54452,99,142,T
171,42768,51,181,C
172,68563,26,184,C
173,67757,78,91,C
174,43551,91,162,C
175,46581,51,112,T
176,64637,79,144,C
177,36956,88,149,C
178,68189,59,90,T
179,69052,15,43,T
180,67852,30,74,T
181,50709,17,110,T
182,29459,67,82,T
183,37500,25,178,T
184,44810,85,183,T
185,43160,46,152,T
186,60039,63,185,T
187,59652,22,164,C
188,34405,38,63,T
189,64378,21,183,C
190,61094,31,49,C
191,69810,73,125,T
192,39743,83,71,T
193,54771,99,108,T
194,46990,21,163,C
195,49881,18,30,T
196,50561,74,86,C
197,64718,15,29,C
198,48989,26,158,C
199,42627,100,83,C
