Task ID,Length,Budget,Deadline,Pref
0,51700,99,25,T
1,58050,90,43,T
2,44490,46,133,C
3,56610,29,138,C
4,51200,35,142,C
5,50850,93,19,T
6,72340,97,72,T
7,42880,98,80,C
8,58240,12,113,C
9,56720,92,120,T
10,55080,93,91,T
11,39350,98,65,T
12,47930,95,44,T
13,51230,40,145,C
14,68940,43,143,C
15,66210,31,66,C
16,60820,32,187,C
17,60560,98,40,T
18,48200,26,153,C
19,48700,38,130,C
20,47820,53,111,C
21,50540,13,125,C
22,45840,49,67,T
23,62810,12,76,C
24,64990,45,74,T
25,50900,26,140,C
26,48310,49,113,T
27,36680,42,31,T
28,44720,49,102,T
29,31520,42,139,T
30,63870,45,104,C
31,56480,30,113,C
32,45540,66,37,T
33,55780,40,108,T
34,49740,45,71,T
35,59230,40,71,T
36,34670,73,107,T
37,52970,24,75,C
38,73420,16,86,C
39,32510,22,159,C
40,62430,12,124,C
41,42560,94,130,T
42,59830,92,35,T
43,60600,26,156,C
44,39150,49,53,C
45,44290,91,81,T
46,29240,62,150,T
47,41820,32,166,C
48,49500,100,35,T
49,49500,79,30,T
