Task ID,Length,Budget,Deadline,Pref
0,67878,48,132,T
1,71285,55,116,T
2,70184,74,152,T
3,33925,19,134,T
4,64881,27,166,T
5,40139,60,190,T
6,30357,57,30,T
7,29415,62,110,C
8,33652,85,72,T
9,40224,41,166,T
10,29963,19,39,T
11,43293,37,182,T
12,52348,81,147,C
13,48987,55,183,T
14,50707,61,121,C
15,44061,84,188,T
16,43756,64,181,T
17,32659,71,47,T
18,36647,62,90,T
19,36019,43,129,T
20,69851,63,71,C
21,30084,40,116,C
22,44106,12,147,T
23,36258,39,23,C
24,56767,52,24,T
25,36632,98,101,C
26,61907,84,64,T
27,32155,55,183,T
28,44320,93,115,T
29,58961,36,72,T
30,40037,35,77,C
31,33472,24,163,C
32,29730,39,68,T
33,44507,11,176,T
34,60806,75,63,T
35,72450,38,142,T
36,39615,64,71,C
37,40079,96,32,T
38,69060,23,26,T
39,67730,25,165,C
40,47328,24,171,C
41,50585,26,100,C
42,66925,11,123,C
43,34101,66,34,C
44,69208,95,53,T
45,29740,86,39,C
46,64873,86,190,C
47,42817,28,72,T
48,49837,32,51,C
49,48905,85,187,C
50,33906,85,77,T
51,52575,42,58,T
52,32126,67,77,C
53,71062,80,72,C
54,34529,47,114,T
55,34228,33,55,C
56,52551,96,190,C
57,44269,83,186,C
58,37793,38,97,T
59,37732,53,176,T
60,61125,90,67,C
61,61892,92,166,C
62,32057,95,131,T
63,40219,60,112,T
64,71099,59,24,C
65,45099,62,155,T
66,54689,92,160,C
67,57405,70,140,T
68,50643,35,178,T
69,68478,83,157,C
70,39842,44,40,C
71,61401,12,90,T
72,70334,95,166,C
73,57608,64,40,C
74,67131,47,97,T
75,38785,46,128,C
76,37815,71,77,C
77,59258,57,138,C
78,50421,56,63,C
79,54292,37,59,C
80,54658,69,100,T
81,65516,39,124,T
82,64236,23,94,T
83,29516,59,65,T
84,31446,49,73,C
85,42655,18,32,T
86,68077,45,142,T
87,33542,21,71,T
88,40400,25,100,C
89,44440,48,112,T
90,69278,48,31,T
91,44150,93,163,T
92,52110,15,21,C
93,58043,49,40,T
94,45608,35,108,T
95,47422,19,41,C
96,68734,69,40,C
97,64162,95,22,T
98,62954,58,66,T
99,50276,75,98,T
100,44854,19,31,C
101,39523,75,74,T
102,39661,21,73,T
103,64730,76,104,C
104,29538,96,48,C
105,36706,51,100,C
106,70633,84,104,T
107,71481,23,42,C
108,37393,92,144,C
109,41193,78,27,T
110,38251,96,47,T
111,34318,94,127,T
112,39892,80,118,C
113,62068,69,115,C
114,64069,77,169,C
115,66592,75,105,C
116,41365,53,22,C
117,47681,76,101,C
118,65582,11,31,T
119,44377,63,178,T
120,45734,18,161,T
121,30506,90,62,T
122,69258,45,47,T
123,61777,11,188,C
124,45354,12,169,C
125,71292,18,59,T
126,50759,50,113,T
127,42433,12,103,C
128,29903,93,78,T
129,71117,66,110,C
130,55430,32,152,T
131,30582,42,175,C
132,65954,43,174,C
133,66972,21,178,T
134,73506,40,108,T
135,47680,25,173,T
136,51553,99,136,T
137,63275,99,57,C
138,31970,71,55,C
139,58591,71,61,T
140,48409,49,24,T
141,70268,33,108,T
142,32516,56,181,C
143,46496,52,85,C
144,31442,21,25,C
145,59651,24,139,C
146,32239,32,39,T
147,51952,15,175,C
148,43281,67,146,C
149,36446,15,149,C
150,34677,77,34,T
151,41634,75,55,C
152,46219,11,117,C
153,56123,57,70,T
154,49854,43,162,T
155,29557,43,88,T
156,68235,32,24,C
157,31363,27,43,T
158,73030,47,140,T
159,66176,22,42,T
160,30413,63,76,C
161,52748,17,164,C
162,32762,79,138,T
163,44835,21,171,C
164,37125,40,53,T
165,52719,52,125,T
166,51305,80,57,C
167,39215,12,54,T
168,53890,88,96,T
169,32570,63,176,C
170,52963,88,23,T
171,55369,92,36,C
172,36291,26,130,C
173,46170,13,28,C
174,31141,47,33,C
175,58108,13,107,C
176,71122,33,34,T
177,53608,16,174,T
178,65555,50,141,C
179,38787,49,83,T
180,57798,80,102,T
181,41209,60,183,C
182,32118,20,115,T
183,66519,82,59,T
184,48595,61,67,C
185,52545,77,142,T
186,67311,33,102,C
187,48260,80,178,C
188,63895,28,48,T
189,41532,68,171,T
190,60447,82,152,C
191,68357,13,131,T
192,29332,68,188,T
193,50122,70,147,T
194,57532,84,140,C
195,43736,27,63,C
196,33340,19,62,T
197,72350,22,156,C
198,30410,63,118,C
199,35014,50,150,C
200,56014,52,131,C
201,56748,72,165,T
202,36409,28,90,C
203,66336,78,167,C
204,56949,37,183,C
205,51103,73,32,C
206,57402,73,120,C
207,34472,62,24,C
208,66648,98,30,T
209,32815,66,145,T
210,55250,52,121,T
211,57605,81,84,T
212,30000,17,79,T
213,53110,73,24,C
214,73951,58,64,T
215,58652,92,188,C
216,42150,83,184,T
217,35481,71,185,C
218,35041,75,157,C
219,53298,84,170,C
220,37442,89,162,C
221,68487,70,102,C
222,37418,21,153,C
223,73420,29,62,T
224,54070,36,128,C
225,60871,69,181,C
226,30922,19,187,T
227,56334,40,123,T
228,59704,22,147,T
229,44423,86,105,T
230,32187,99,156,C
231,67603,72,39,C
232,47115,41,63,T
233,73052,28,152,C
234,33236,46,57,C
235,49633,54,141,C
236,29518,77,79,C
237,29949,47,70,C
238,35162,30,110,T
239,29579,27,76,C
240,42067,58,20,T
241,35295,100,142,C
242,57431,53,171,T
243,45387,49,104,C
244,50841,69,96,T
245,42489,87,58,C
246,51359,45,48,T
247,43918,84,103,C
248,30610,77,141,T
249,51853,29,85,C
